ticker,date,open,high,low,close,volume
AVTE,2021-06-30,28,29.43,22.83,22.83,1131200
AVTE,2021-07-01,21.42,21.5,18.05,19.41,341400
AVTE,2021-07-02,18.86,19.99,17.58,19.94,187300
AVTE,2021-07-06,18.31,20,18.0001,18.87,96600
AVTE,2021-07-07,19.09,19.7,16.93,17.17,38100
AVTE,2021-07-08,16.76,16.76,15.06,15.515,24500
AVTE,2021-07-09,15.99,16.015,15.02,15.04,26600
AVTE,2021-07-12,15,15.75,15,15.59,55800
AVTE,2021-07-13,15.79,16.05,15.2,15.94,34100
AVTE,2021-07-14,15.81,16.15,15.14,15.38,43500
AVTE,2021-07-15,15.23,15.23,14.785,14.82,34600
AVTE,2021-07-16,14.53,14.98,14.39,14.89,84100
AVTE,2021-07-19,14.51,15.04,14.25,14.71,195800
AVTE,2021-07-20,14.76,15.11,14.13,14.13,164100
AVTE,2021-07-21,14.12,14.5318,13.52,14.15,29100
AVTE,2021-07-22,14.25,15.24,13.66,14.23,40800
AVTE,2021-07-23,14.23,14.25,13.42,14.23,36200
AVTE,2021-07-26,14.25,14.5,13.51,13.8,50900
AVTE,2021-07-27,13.94,14.25,12.796,12.796,26200
AVTE,2021-07-28,12.9,13.25,11.72,13.25,57200
AVTE,2021-07-29,13.15,13.66,12.64,13.08,63600
AVTE,2021-07-30,12.92,13.205,12.57,12.85,31300
AVTE,2021-08-02,13.25,13.8,12.49,13.8,52700
AVTE,2021-08-03,13.73,13.73,13.08,13.47,27300
AVTE,2021-08-04,13.63,13.8,12.88,13.39,53600
AVTE,2021-08-05,13.36,13.99,12.6,13.18,28300
AVTE,2021-08-06,13.53,13.82,12.87,13.28,18800
AVTE,2021-08-09,12.97,13.62,12.68,13,26600
AVTE,2021-08-10,12.94,13,12.2143,12.99,35300
AVTE,2021-08-11,13,13.59,12.7746,13,51200
AVTE,2021-08-12,12.77,13.6,12.77,13.6,84900
AVTE,2021-08-13,13.25,13.269,12.5,12.5,36200
AVTE,2021-08-16,12.08,12.66,12,12.5,23400
AVTE,2021-08-17,12.33,13,11.86,12.73,68200
AVTE,2021-08-18,13.19,13.2,12.19,12.7,234400
AVTE,2021-08-19,12.1129,13.425,12.07,12.82,79600
AVTE,2021-08-20,12,13.07,11.78,12.38,87700
AVTE,2021-08-23,12.29,13.275,11.52,11.76,72300
AVTE,2021-08-24,11.99,12.7555,11.76,12,294800
AVTE,2021-08-25,11.96,12.45,11.4,12.1,222000
AVTE,2021-08-26,12.13,15,12.08,14.04,129000
AVTE,2021-08-27,13.78,18.2,12.8201,17.6,118600
AVTE,2021-08-30,17.98,18.21,15.29,16.88,62600
AVTE,2021-08-31,17.04,18.9999,15.6201,17.09,62600
AVTE,2021-09-01,16.99,18.73,14.7813,18.18,125000
AVTE,2021-09-02,17.36,19.33,17.36,18.62,55100
AVTE,2021-09-03,18.43,22.77,17.53,19.99,152500
AVTE,2021-09-07,20.34,21.435,19.2,20.09,192700
AVTE,2021-09-08,19.87,21.35,19.69,20.67,123700
AVTE,2021-09-09,20.51,22.0094,19.74,19.96,119700
AVTE,2021-09-10,20.25,21.87,20.085,20.9,139000
AVTE,2021-09-13,20.67,23.19,20.15,22.49,122100
AVTE,2021-09-14,22.87,22.87,19.75,20.86,143100
AVTE,2021-09-15,21.81,22.8348,20.3,21.56,276700
AVTE,2021-09-16,21.32,22,19.66,21.18,266500
AVTE,2021-09-17,20.87,22.16,19.34,20.16,1504700
AVTE,2021-09-20,20,20,13.98,14.93,362900
AVTE,2021-09-21,14.94,15.49,14.3,15.21,186300
AVTE,2021-09-22,15.12,16.2,14.8095,15.8,64400
AVTE,2021-09-23,16.09,16.35,15.56,16.16,28900
AVTE,2021-09-24,15.75,16.81,15.3,16.69,59900
AVTE,2021-09-27,18.03,20.93,16.66,20.77,139600
AVTE,2021-09-28,20.3,21.88,19.85,20.92,109700
AVTE,2021-09-29,21,21.075,20.115,20.94,45400
AVTE,2021-09-30,20.99,21.39,20.19,20.98,109900
AVTE,2021-10-01,20.98,20.98,19.68,19.97,50200
AVTE,2021-10-04,20.52,20.52,17.94,18.75,100600
AVTE,2021-10-05,18.88,21.283,18.88,20.88,69500
AVTE,2021-10-06,20.12,20.33,18.99,19.01,34400
AVTE,2021-10-07,18.92,19.3,17.1,17.4,39700
AVTE,2021-10-08,17.26,20.37,17.26,20.09,39900
AVTE,2021-10-11,19.75,19.75,18.49,18.74,20500
AVTE,2021-10-12,18.48,18.8,16.36,17.33,82100
AVTE,2021-10-13,17.3,18.64,17.02,18.26,47800
AVTE,2021-10-14,18.55,19.01,16.75,17.37,57100
AVTE,2021-10-15,17.23,17.23,14,14.13,106800
AVTE,2021-10-18,15.04,21.8,15.04,16.89,2219800
AVTE,2021-10-19,15.71,16.59,14.08,14.27,211300
AVTE,2021-10-20,14.32,14.9899,12.6,13.3,198600
AVTE,2021-10-21,13.03,13.1,12.3502,13.01,96000
AVTE,2021-10-22,12.81,13.41,12.5,13.26,67900
AVTE,2021-10-25,13.39,13.97,12.935,13.91,61900
AVTE,2021-10-26,13.58,14.94,13.41,14.9,61000
AVTE,2021-10-27,14.96,15.38,14.15,14.29,40700
AVTE,2021-10-28,14.02,15.72,14.02,15.63,60900
AVTE,2021-10-29,15.5,16.47,14.1341,15.93,70000
AVTE,2021-11-01,15.75,16.99,15.335,15.66,48500
AVTE,2021-11-02,15.85,16.58,15.04,15.9,40400
AVTE,2021-11-03,15.95,16.69,14.98,16.51,30400
AVTE,2021-11-04,16.56,17.28,16.31,16.95,32000
AVTE,2021-11-05,16.88,18.45,16.85,18.45,57800
AVTE,2021-11-08,18.38,18.775,17.5906,18.38,108400
AVTE,2021-11-09,18.04,18.04,16.46,17.36,34200
AVTE,2021-11-10,17.18,19,16.49,19,72300
AVTE,2021-11-11,18.94,18.94,17.16,17.64,54700
AVTE,2021-11-12,17.58,22.09,17.58,21.54,101200
AVTE,2021-11-15,19.34,21.66,17,17.46,136600
AVTE,2021-11-16,17.46,17.46,13.77,14.01,136000
AVTE,2021-11-17,14.01,14.64,13.28,13.98,190400
AVTE,2021-11-18,13.79,15.07,13.19,14.05,197400
AVTE,2021-11-19,14.3,14.64,13.85,14.27,45300
AVTE,2021-11-22,14.28,14.96,13.935,14.04,58400
AVTE,2021-11-23,14.29,14.92,13.534,14.48,52900
AVTE,2021-11-24,14.45,14.85,14.26,14.52,20800
AVTE,2021-11-26,14.17,14.47,13.2,13.21,21400
AVTE,2021-11-29,13.7,14.53,13.3,13.74,106000
AVTE,2021-11-30,13.47,13.81,13.18,13.71,99600
AVTE,2021-12-01,13.75,13.845,13.31,13.41,99000
AVTE,2021-12-02,13.21,13.725,11.81,13.06,153100
AVTE,2021-12-03,13.17,13.76,11.85,12.57,60300
AVTE,2021-12-06,12.51,12.51,11,11.5,125300
AVTE,2021-12-07,11.55,12.4499,11.18,11.36,58100
AVTE,2021-12-08,11.18,11.82,10.57,11.49,36600
AVTE,2021-12-09,11.42,11.675,10.88,11.14,29100
AVTE,2021-12-10,11,12.23,10.6938,12.08,44500
AVTE,2021-12-13,12.06,12.49,11.18,11.41,79800
AVTE,2021-12-14,11.3,12.35,10.06,10.61,100000
AVTE,2021-12-15,10.62,13.27,10.62,12.34,200100
AVTE,2021-12-16,12.43,12.6,9.0204,9.14,238701
AVTE,2021-12-17,9.16,9.7,8.83,9.285,269600
AVTE,2021-12-20,9.3,10.25,9,9.68,126200
AVTE,2021-12-21,9.83,9.98,9.5,9.5,111500
AVTE,2021-12-22,9.55,10.49,9.48,10.08,131300
AVTE,2021-12-23,10.03,11.03,10.03,10.38,14100
AVTE,2021-12-27,10.23,10.9,10.15,10.46,17300
AVTE,2021-12-28,10.45,10.61,9.925,10.05,51100
AVTE,2021-12-29,9.3101,10.3,9.3101,10.23,23300
AVTE,2021-12-30,10.14,11.5,10.14,11.19,37600
AVTE,2021-12-31,10.97,11.99,10.97,11.79,31300
AVTE,2022-01-03,12.12,12.12,10.59,10.93,44700
AVTE,2022-01-04,11.17,11.17,10.16,10.27,45300
AVTE,2022-01-05,9.87,10.66,9.62,10.5,186100
AVTE,2022-01-06,10.16,10.48,9.955,10.16,31100
AVTE,2022-01-07,10.03,10.51,9.88,10.01,19100
AVTE,2022-01-10,10.01,10.24,9.39,10.08,19500
AVTE,2022-01-11,10.14,10.31,9.6,10,32800
AVTE,2022-01-12,9.89,10.1,9.78,9.82,21200
AVTE,2022-01-13,9.74,10.09,9.35,9.39,13000
AVTE,2022-01-14,9.32,9.94,8.89,9.49,26700
AVTE,2022-01-18,9.25,9.68,9,9.09,54800
AVTE,2022-01-19,9.03,9.17,9,9,14000
AVTE,2022-01-20,9.24,9.25,8.57,8.68,37000
AVTE,2022-01-21,8.42,9.26,7.74,8.25,42600
AVTE,2022-01-24,7.8,9.14,7.8,8.8,19900
