ticker,date,open,high,low,close,volume
CALT,2020-06-05,19.9,20.51,19.45,19.6,1566400
CALT,2020-06-08,20.12,20.36,19.75,20.19,155000
CALT,2020-06-09,20.02,20.17,19.81,20.17,55700
CALT,2020-06-10,20.25,20.62,19.775,19.96,41600
CALT,2020-06-11,19.68,19.85,19.4,19.4,78600
CALT,2020-06-12,19.7,19.8,19.4,19.5,25400
CALT,2020-06-15,19.4,19.49,19.25,19.39,7800
CALT,2020-06-16,19.66,19.7,19.25,19.48,29000
CALT,2020-06-17,19.59,19.59,19.26,19.38,10600
CALT,2020-06-18,19.34,19.52,19.15,19.25,13600
CALT,2020-06-19,19.28,19.28,19,19.17,12800
CALT,2020-06-22,19.17,19.44,19.17,19.38,2900
CALT,2020-06-23,19.57,20.065,19.4201,19.78,11800
CALT,2020-06-24,20.04,20.17,19.5,19.89,4800
CALT,2020-06-25,19.65,19.8402,19,19.19,3800
CALT,2020-06-26,19.64,20.41,19.33,19.71,28300
CALT,2020-06-29,20.01,20.01,19.5001,19.95,7100
CALT,2020-06-30,24.86,24.97,22.6,23.2,172900
CALT,2020-07-01,24.12,24.71,22.96,23.605,67500
CALT,2020-07-02,23.5,23.591,21.16,22.22,18000
CALT,2020-07-06,22.97,23.7498,22.155,23.48,17100
CALT,2020-07-07,23.49,23.62,22.74,22.82,10800
CALT,2020-07-08,23.55,24.05,22.39,23.57,20000
CALT,2020-07-09,23.4,23.78,22.69,23.78,19900
CALT,2020-07-10,23.92,24.1,22.765,23.345,3500
CALT,2020-07-13,23.34,23.6,22.76,22.76,8300
CALT,2020-07-14,23.61,23.625,22.96,22.98,4200
CALT,2020-07-15,23.97,24.1,23.1,23.35,13000
CALT,2020-07-16,24.16,24.2,23.295,23.58,8200
CALT,2020-07-17,24.16,24.22,23.58,23.76,9000
CALT,2020-07-20,25.1,25.65,24.61,24.82,25200
CALT,2020-07-21,25.03,25.559,24.84,25.1,7100
CALT,2020-07-22,25.63,28.38,24.92,25.69,20300
CALT,2020-07-23,25.35,25.35,24.06,24.08,7000
CALT,2020-07-24,24.16,24.465,23.68,23.69,7100
CALT,2020-07-27,24.16,24.6,23.67,24.05,10600
CALT,2020-07-28,24.38,24.39,23.71,23.82,6900
CALT,2020-07-29,24.12,24.2,20.85,21.61,51100
CALT,2020-07-30,22.4,23.02,22.0753,22.54,32000
CALT,2020-07-31,23,23.16,22.345,22.85,11700
CALT,2020-08-03,23.37,23.43,22.45,22.86,6300
CALT,2020-08-04,22.63,22.87,22.41,22.44,7300
CALT,2020-08-05,22.77,23.49,22.44,23.49,3000
CALT,2020-08-06,22.91,22.91,21.81,21.91,4700
CALT,2020-08-07,22.46,22.7,21.6,22.17,5600
CALT,2020-08-10,23.55,23.86,22.31,23.25,12500
CALT,2020-08-11,23.53,23.53,22.35,22.43,20600
CALT,2020-08-12,23,23.4699,22.75,23.06,9000
CALT,2020-08-13,23.31,23.575,22.03,22.03,6900
CALT,2020-08-14,24.16,24.39,23.505,23.6,12000
CALT,2020-08-17,24.7,25.25,23.82,24.03,36300
CALT,2020-08-18,24.16,24.4499,23.62,24.075,15600
CALT,2020-08-19,24.62,24.6539,23.7,24.3,19100
CALT,2020-08-20,23.625,25.99,23.095,24.33,17000
CALT,2020-08-21,24.33,24.33,21,22.47,172800
CALT,2020-08-24,23.04,23.44,22.467,22.66,36100
CALT,2020-08-25,23.46,23.69,22.67,23.44,29900
CALT,2020-08-26,23.44,23.755,22.54,23.13,29600
CALT,2020-08-27,23.88,24,23.13,23.49,42900
CALT,2020-08-28,23.71,23.93,23.17,23.34,16800
CALT,2020-08-31,24.07,24.28,22.02,22.71,84200
CALT,2020-09-01,23.56,23.69,22.77,22.85,61600
CALT,2020-09-02,23.25,23.32,22.57,23.04,79000
CALT,2020-09-03,23.28,23.28,22.3517,22.49,43100
CALT,2020-09-04,22.42,23.12,21.75,22.47,38400
CALT,2020-09-08,22.74,22.79,21.7701,22.5,122300
CALT,2020-09-09,22.92,25.02,22.325,22.65,219200
CALT,2020-09-10,22.77,22.89,22.31,22.5,24300
CALT,2020-09-11,22.58,22.8,22.24,22.54,55000
CALT,2020-09-14,22.9987,23.17,22.5501,22.79,23100
CALT,2020-09-15,23.26,23.29,22.71,22.71,14100
CALT,2020-09-16,23.68,23.68,22.98,23.44,36500
CALT,2020-09-17,23.78,26.81,23.69,24.8,38500
CALT,2020-09-18,24.73,25.91,23.59,23.8,22100
CALT,2020-09-21,23.61,26.59,23.16,24.5,67300
CALT,2020-09-22,23.61,25,23.27,24.5,17500
CALT,2020-09-23,24.15,24.15,22.89,23.42,18000
CALT,2020-09-24,22.88,23.48,22.4,22.6,10000
CALT,2020-09-25,22.34,25.45,22.315,23.42,61100
CALT,2020-09-28,23.22,26.27,22.62,24,117600
CALT,2020-09-29,23.7,24.3,23.36,23.42,36500
CALT,2020-09-30,23.77,24.21,23.73,24,20900
CALT,2020-10-01,23.85,24.48,23.75,24.08,51200
CALT,2020-10-02,23.18,24.71,23.095,23.53,22300
CALT,2020-10-05,24.22,26.35,23.01,24.99,97900
CALT,2020-10-06,24.81,24.96,24.1,24.61,26000
CALT,2020-10-07,24.61,25.76,24.61,25.09,15200
CALT,2020-10-08,26.57,27.23,25.8201,25.93,329900
CALT,2020-10-09,27.02,28.63,26.944,28.26,79000
CALT,2020-10-12,28.45,30,28.44,29.24,65400
CALT,2020-10-13,28.33,29.99,27.47,29.57,131100
CALT,2020-10-14,28.5,32.07,27.61,29.5,165700
CALT,2020-10-15,27.57,31,27.53,29.23,163300
CALT,2020-10-16,28.35,30.14,27.36,28.99,112800
CALT,2020-10-19,27.84,29.62,27.47,27.6,128500
CALT,2020-10-20,28.31,28.44,27.42,27.88,59700
CALT,2020-10-21,27.47,27.87,26.84,27.04,89200
CALT,2020-10-22,26.88,27.4,26.73,27.34,20400
CALT,2020-10-23,26.74,26.795,25.96,26,64400
CALT,2020-10-26,25.54,25.88,25.05,25.27,20900
CALT,2020-10-27,24.97,26.02,24.66,25.09,47800
CALT,2020-10-28,23.7,24.45,23.23,23.46,37700
CALT,2020-10-29,23.34,24.0099,23.34,23.75,23200
CALT,2020-10-30,23.9,24,23.2971,23.34,6300
CALT,2020-11-02,23.53,24.03,23.35,23.69,9700
CALT,2020-11-03,24.23,24.5,23.97,24.23,7100
CALT,2020-11-04,24.98,26.05,24.95,25.7,21000
CALT,2020-11-05,25.98,25.99,25.51,25.51,4700
CALT,2020-11-06,25.76,26.25,24.745,25.17,56000
CALT,2020-11-09,37.89,38,32.11,33.95,751000
CALT,2020-11-10,34.22,35.495,33.45,34.66,108600
CALT,2020-11-11,35.25,36.1,33.5,33.5,150500
CALT,2020-11-12,34.5,34.7,32.7,32.7,132400
CALT,2020-11-13,32.77,33.22,32.35,32.5,118900
CALT,2020-11-16,32.69,33.77,32.69,32.96,72000
CALT,2020-11-17,32.55,32.84,32.43,32.53,21900
CALT,2020-11-18,32.88,33.19,32.72,32.76,33200
CALT,2020-11-19,32.74,32.85,32.41,32.62,14700
CALT,2020-11-20,32.7,33,32.6,33,17300
CALT,2020-11-23,32.66,32.75,32.23,32.23,4100
CALT,2020-11-24,31.99,32.41,31.81,32.3,6700
CALT,2020-11-25,32.52,33,32.52,32.68,17600
CALT,2020-11-27,32.66,33.35,32.66,33.17,27400
CALT,2020-11-30,35.86,36.65,35.56,36.65,51600
CALT,2020-12-01,36.42,36.43,35.33,35.95,14000
CALT,2020-12-02,34.78,34.78,33.81,34.15,41100
CALT,2020-12-03,34.1,34.15,33.63,33.63,13400
CALT,2020-12-04,34.04,34.19,33.76,33.91,27800
CALT,2020-12-07,34.08,34.55,33.89,34.55,2200
CALT,2020-12-08,33.66,34.71,33.56,34.71,3500
CALT,2020-12-09,34.57,34.61,33.77,33.77,900
CALT,2020-12-10,33.57,33.95,33.2,33.93,1700
CALT,2020-12-11,33.35,33.5,32.98,33.49,3400
CALT,2020-12-14,34,34.39,33.5203,33.6,5400
CALT,2020-12-15,33.92,34.76,33.6301,34.74,2200
CALT,2020-12-16,33.9858,34.43,33.9858,34.43,800
CALT,2020-12-17,34.74,34.75,34.31,34.31,2500
CALT,2020-12-18,33.7262,33.7262,33.53,33.68,1700
CALT,2020-12-21,33.06,34.25,32.86,33.48,5200
CALT,2020-12-22,33.54,33.64,32.68,33.38,8400
CALT,2020-12-23,32.93,32.93,32.42,32.44,3100
CALT,2020-12-24,32.9373,33.28,32.9373,33.28,800
CALT,2020-12-28,33.19,33.53,32.75,33.53,2300
CALT,2020-12-29,33.99,34.01,33.24,33.34,7500
CALT,2020-12-30,33.93,34.15,33.38,33.97,4000
CALT,2020-12-31,33.57,33.62,33.57,33.62,900
CALT,2021-01-04,32.41,32.41,32.41,32.41,100
CALT,2021-01-05,32.93,32.93,31.35,32,42300
CALT,2021-01-06,32.5,32.5758,31.57,32.51,18900
CALT,2021-01-07,31.99,31.99,31.59,31.85,18500
CALT,2021-01-08,31.96,31.96,31.355,31.6,7400
CALT,2021-01-11,31.4,31.4,30.9,31,37800
CALT,2021-01-12,31.3,31.3,30.62,30.62,12700
CALT,2021-01-13,30.27,30.27,30.01,30.01,500
CALT,2021-01-14,31.02,31.39,30.75,31.13,3100
CALT,2021-01-15,30.55,30.55,30.1,30.1,1500
CALT,2021-01-19,31.76,32.55,31.76,32.14,34700
CALT,2021-01-20,32.8,32.95,32.34,32.74,55800
CALT,2021-01-21,31.945,32.766,31.58,31.58,900
CALT,2021-01-22,32.28,33.18,32.03,32.92,6200
CALT,2021-01-25,32,32.13,31.45,32.12,4000
CALT,2021-01-26,31.419,31.419,31.23,31.23,2400
CALT,2021-01-27,28.6,28.77,27.56,27.73,37600
CALT,2021-01-28,28.49,29.87,28.14,28.14,101000
CALT,2021-01-29,27.73,28,27.01,27.01,24300
CALT,2021-02-01,28.51,28.71,27.74,27.74,34400
CALT,2021-02-02,28.47,28.7399,28.3,28.36,42800
CALT,2021-02-03,29.36,30.3091,28.52,28.9,93600
CALT,2021-02-04,30.07,30.4,29.01,29.99,103400
CALT,2021-02-05,30.6599,30.6599,29.21,29.8,208400
CALT,2021-02-08,30.24,30.66,30.12,30.5,78100
CALT,2021-02-09,30.45,30.91,30.11,30.2,61400
CALT,2021-02-10,30.73,30.79,30,30.12,67800
CALT,2021-02-11,31.36,32.4199,31.36,32.06,52300
CALT,2021-02-12,31.87,32.39,31.75,32.39,23000
CALT,2021-02-16,32.44,32.49,32.18,32.18,4700
CALT,2021-02-17,31.64,32.18,31.5,31.9,11800
CALT,2021-02-18,30.63,30.8347,30.3,30.3,11100
CALT,2021-02-19,31.27,31.28,30.21,30.55,6300
CALT,2021-02-22,30.24,30.24,29.67,29.9,9400
CALT,2021-02-23,28.63,29.46,28.63,29.09,8000
CALT,2021-02-24,28.78,29.17,28.35,28.86,6400
CALT,2021-02-25,29.03,29.15,28.11,28.84,20600
CALT,2021-02-26,29.75,30.02,28.07,28.07,26000
CALT,2021-03-01,29.46,29.56,28.78,29.13,29200
